"22 Inch(2pcs)","LS22G20"
"22 Inch(4pcs,240g)","LS22G24P4"
"22 Inch(3pcs)","LS22G30"
"22 Inch(5pcs,300g)","LS22G30P5"
"22 Inch(4pcs)","LS22G40"
"24 Inch(10pcs)","LS24G100"
"24 Inch(2pcs)","LS24G20"
"24 Inch(4pcs,240g)","LS24G24P4"
"24 Inch(3pcs)","LS24G30"
"24 Inch(5pcs,300g)","LS24G30P5"
"24 Inch(4pcs)","LS24G40"
"26 Inch(10pcs)","LS26G100"
"26 Inch(2pcs)","LS26G20"
"26 Inch(3pcs)","LS26G30"
"26 Inch(4pcs)","LS26G40"
"28 Inch(10pcs)","LS28G100"
"28 Inch(2pcs)","LS28G20"
"28 Inch(3pcs)","LS28G30"
"28 Inch(4pcs)","LS28G40"
"30 Inch(10pcs)","LS30G100"
"30 Inch(2pcs)","LS30G20"
"30 Inch(3pcs)","LS30G30"
"30 Inch(4pcs)","LS30G40"
"Body Wavy","SB"
"Curly","SC"
"Deep Curly","SDC"
"Deep Wavy","SDW"
"Jerry Curly","SJC"
"Loose wavy","SL"
"loose wavy","SLW"
"Natural Wavy","SN"
"Straight","SS"
"SSP8","SSP8"
"#10 Blonde","C10"
"#24 Light Golden Blonde","C24"
"#60 White Blonde","C60"
"16 Inch(100g,100pcs)","L16G10P10"
"16 Inch(50g)","L16G5"
"18 Inch(100g,100pcs)","L18G10P10"
"18 Inch(50g)","L18G5"
"20 Inch(100g)","L20G10"
"20 Inch(50g)","L20G5"
"22 Inch(100g)","L22G10"
"22 Inch(50g)","L22G5"
"24 Inch(100g)","L24G10"
"24 Inch(50g)","L24G5"
"26 Inch(100g)","L26G10"
"26 Inch(140)","L26G14"
"26 Inch(175)","L26G17"
"26 Inch(50g)","L26G5"
"Black","CBlack"
"Gray","CGray"
